Comment ,Label,1_Comment,2_Comment,tokens,sent_tokens
"Trường rác rưởi, hạn 20 đóng học phí nhưng ngày 19 kh đăng kí môn được",0,trường rác rưởi hạn 20 đóng học phí nhưng ngày 19 kh đăng kí môn được,trường rác rưởi hạn 20 đóng học phí nhưng ngày 19 kh đăng kí môn được,"['trường', 'rác_rưởi', 'hạn', '20', 'đóng', 'học_phí', 'nhưng', 'ngày', '19', 'kh', 'đăng_kí', 'môn', 'được']",trường rác_rưởi hạn 20 đóng học_phí nhưng ngày 19 kh đăng_kí môn được
"Giảng viên chuyên môn cao, giảng dạy nhiệt tình. Không gian trường rất rộng và sạch sẽ.",1,giảng viên chuyên môn cao giảng dạy nhiệt tình không gian trường rất rộng và sạch sẽ,giảng viên chuyên môn cao giảng dạy nhiệt tình không gian trường rất rộng và sạch sẽ,"['giảng_viên', 'chuyên_môn', 'cao', 'giảng_dạy', 'nhiệt_tình', 'không_gian', 'trường', 'rất', 'rộng', 'và', 'sạch_sẽ']",giảng_viên chuyên_môn cao giảng_dạy nhiệt_tình không_gian trường rất rộng và sạch_sẽ
Kĩ năng + tin học chất lượng kém mà thu tiền đúng ác thôi cho 1 sao ạ,0,kĩ năng tin học chất lượng kém mà thu tiền đúng ác thôi cho 1 sao ạ,kĩ năng tin học chất lượng kém mà thu tiền đúng ác thôi cho 1 sao ạ,"['kĩ_năng', 'tin_học', 'chất_lượng', 'kém', 'mà', 'thu', 'tiền', 'đúng', 'ác', 'thôi', 'cho', '1', 'sao', 'ạ']",kĩ_năng tin_học chất_lượng kém mà thu tiền đúng ác thôi cho 1 sao ạ
"Trường đẹp, rộng, cơ sở vật chất khá khang trang đầy đủ",1,trường đẹp rộng cơ sở vật chất khá khang trang đầy đủ,trường đẹp rộng cơ sở vật chất khá khang trang đầy đủ,"['trường', 'đẹp', 'rộng', 'cơ_sở', 'vật_chất', 'khá', 'khang_trang', 'đầy_đủ']",trường đẹp rộng cơ_sở vật_chất khá khang_trang đầy_đủ
"Thực sự thất vọng về trường, học phí quá cao so với mặt bằng chung. Chương trình đào tạo không đúng với lúc thông báo tuyển sinh. Thời gian từ lúc hoàn thành báo cáo tốt nghiệp tới lúc cấp bằng quá dài. Cấp bằng (phát bằng thì đúng hơn) chỉ cho sinh viên nhận bằng không làm được cái lễ tốt nghiệp cho đàng hoàng. Đặc biệt trường lúc nào hẹn và hẹn.... Quá chán cho một ngôi trường được đánh giá cao.",0,thực sự thất vọng về trường học phí quá cao so với mặt bằng chung chương trình đào tạo không đúng với lúc thông báo tuyển sinh thời gian từ lúc hoàn thành báo cáo tốt nghiệp tới lúc cấp bằng quá dài cấp bằng phát bằng thì đúng hơn chỉ cho sinh viên nhận bằng không làm được cái lễ tốt nghiệp cho đàng hoàng đặc biệt trường lúc nào hẹn và hẹn quá chán cho một ngôi trường được đánh giá cao,thực sự thất vọng về trường học phí quá cao so với mặt bằng chung chương trình đào tạo không đúng với lúc thông báo tuyển sinh thời gian từ lúc hoàn thành báo cáo tốt nghiệp tới lúc cấp bằng quá dài cấp bằng phát bằng thì đúng hơn chỉ cho sinh viên nhận bằng không làm được cái lễ tốt nghiệp cho đàng hoàng đặc biệt trường lúc nào hẹn và hẹn quá chán cho một ngôi trường được đánh giá cao,"['thực_sự', 'thất_vọng', 'về', 'trường', 'học_phí', 'quá', 'cao', 'so', 'với', 'mặt_bằng', 'chung', 'chương_trình', 'đào_tạo', 'không', 'đúng', 'với', 'lúc', 'thông_báo', 'tuyển_sinh_thời_gian', 'từ', 'lúc', 'hoàn_thành', 'báo_cáo', 'tốt_nghiệp', 'tới', 'lúc', 'cấp', 'bằng', 'quá', 'dài', 'cấp', 'bằng', 'phát', 'bằng', 'thì', 'đúng', 'hơn', 'chỉ', 'cho', 'sinh_viên', 'nhận', 'bằng', 'không', 'làm', 'được', 'cái', 'lễ', 'tốt_nghiệp', 'cho', 'đàng_hoàng', 'đặc_biệt', 'trường', 'lúc_nào', 'hẹn', 'và', 'hẹn', 'quá', 'chán', 'cho', 'một', 'ngôi', 'trường', 'được', 'đánh_giá', 'cao']",thực_sự thất_vọng về trường học_phí quá cao so với mặt_bằng chung chương_trình đào_tạo không đúng với lúc thông_báo tuyển_sinh_thời_gian từ lúc hoàn_thành báo_cáo tốt_nghiệp tới lúc cấp bằng quá dài cấp bằng phát bằng thì đúng hơn chỉ cho sinh_viên nhận bằng không làm được cái lễ tốt_nghiệp cho đàng_hoàng đặc_biệt trường lúc_nào hẹn và hẹn quá chán cho một ngôi trường được đánh_giá cao
"Ai nói cơ sở vật chất đầy đủ thì xin thưa.  Phòng thì ko sử dụng được máy chiếu, phòng thì máy lạnh không mở được, phòng thì bàn ghế hư, phòng thì quá rộng mà màn hình chiếu thì quá nhỏ. Dãy I1 phòng nhỏ và rất nóng. Wife khi có khi không. Vậy mà học phí thì cứ tăng đều theo từng học kì. Không hiểu?????",0,ai nói cơ sở vật chất đầy đủ thì xin thưa phòng thì ko sử dụng được máy chiếu phòng thì máy lạnh không mở được phòng thì bàn ghế hư phòng thì quá rộng mà màn hình chiếu thì quá nhỏ dãy i1 phòng nhỏ và rất nóng wife khi có khi không vậy mà học phí thì cứ tăng đều theo từng học kì không hiểu,ai nói cơ sở vật chất đầy đủ thì xin thưa phòng thì ko sử dụng được máy chiếu phòng thì máy lạnh không mở được phòng thì bàn ghế hư phòng thì quá rộng mà màn hình chiếu thì quá nhỏ dãy i1 phòng nhỏ và rất nóng wife khi có khi không vậy mà học phí thì cứ tăng đều theo từng học kì không hiểu,"['ai', 'nói', 'cơ_sở', 'vật_chất', 'đầy_đủ', 'thì', 'xin', 'thưa', 'phòng', 'thì', 'ko', 'sử_dụng', 'được', 'máy_chiếu', 'phòng', 'thì', 'máy_lạnh', 'không', 'mở', 'được', 'phòng', 'thì', 'bàn', 'ghế', 'hư', 'phòng', 'thì', 'quá', 'rộng', 'mà', 'màn_hình_chiếu', 'thì', 'quá', 'nhỏ', 'dãy', 'i1', 'phòng', 'nhỏ', 'và', 'rất', 'nóng', 'wife', 'khi', 'có', 'khi', 'không', 'vậy_mà', 'học_phí', 'thì', 'cứ', 'tăng', 'đều', 'theo', 'từng', 'học_kì', 'không', 'hiểu']",ai nói cơ_sở vật_chất đầy_đủ thì xin thưa phòng thì ko sử_dụng được máy_chiếu phòng thì máy_lạnh không mở được phòng thì bàn ghế hư phòng thì quá rộng mà màn_hình_chiếu thì quá nhỏ dãy i1 phòng nhỏ và rất nóng wife khi có khi không vậy_mà học_phí thì cứ tăng đều theo từng học_kì không hiểu
Trường quá tệ đăng ký học phần thì tự động xóa rồi nhảy lớp lung tung làm rối hết lịch học với làm việc học phí thì tăng mà trường ngày càng tệ,0,trường quá tệ đăng ký học phần thì tự động xóa rồi nhảy lớp lung tung làm rối hết lịch học với làm việc học phí thì tăng mà trường ngày càng tệ,trường quá tệ đăng ký học phần thì tự động xóa rồi nhảy lớp lung tung làm rối hết lịch học với làm việc học phí thì tăng mà trường ngày càng tệ,"['trường', 'quá', 'tệ', 'đăng_ký', 'học_phần', 'thì', 'tự_động', 'xóa', 'rồi', 'nhảy', 'lớp', 'lung_tung', 'làm', 'rối', 'hết', 'lịch', 'học', 'với', 'làm_việc', 'học_phí', 'thì', 'tăng', 'mà', 'trường', 'ngày_càng', 'tệ']",trường quá tệ đăng_ký học_phần thì tự_động xóa rồi nhảy lớp lung_tung làm rối hết lịch học với làm_việc học_phí thì tăng mà trường ngày_càng tệ
"Không gian lý tưởng, đội ngũ GV rất tận tình, trường có liên kết với các doanh nghiệp hỗ trợ tốt việc làm cho SV.",1,không gian lý tưởng đội ngũ gv rất tận tình trường có liên kết với các doanh nghiệp hỗ trợ tốt việc làm cho sv,không gian lý tưởng đội ngũ gv rất tận tình trường có liên kết với các doanh nghiệp hỗ trợ tốt việc làm cho sv,"['không_gian', 'lý_tưởng', 'đội_ngũ', 'gv', 'rất', 'tận_tình_trường', 'có', 'liên_kết', 'với', 'các', 'doanh_nghiệp', 'hỗ_trợ', 'tốt', 'việc_làm', 'cho', 'sv']",không_gian lý_tưởng đội_ngũ gv rất tận_tình_trường có liên_kết với các doanh_nghiệp hỗ_trợ tốt việc_làm cho sv
Học phí thì tăng đều qua từng học kỳ còn tiền miễn giảm học phí thì làm quá lâu quá trễ gần cả năm trời vẫn chưa thấy giải ngân còn việc đóng học phí trễ thì khoá đăng ký môn hủy lớp học.,0,học phí thì tăng đều qua từng học kỳ còn tiền miễn giảm học phí thì làm quá lâu quá trễ gần cả năm trời vẫn chưa thấy giải ngân còn việc đóng học phí trễ thì khoá đăng ký môn hủy lớp học,học phí thì tăng đều qua từng học kỳ còn tiền miễn giảm học phí thì làm quá lâu quá trễ gần cả năm trời vẫn chưa thấy giải ngân còn việc đóng học phí trễ thì khoá đăng ký môn hủy lớp học,"['học_phí', 'thì', 'tăng', 'đều', 'qua', 'từng', 'học_kỳ', 'còn', 'tiền', 'miễn_giảm', 'học_phí', 'thì', 'làm', 'quá', 'lâu', 'quá', 'trễ', 'gần', 'cả', 'năm', 'trời', 'vẫn', 'chưa', 'thấy', 'giải_ngân', 'còn', 'việc', 'đóng', 'học_phí', 'trễ', 'thì', 'khoá', 'đăng_ký', 'môn_hủy', 'lớp_học']",học_phí thì tăng đều qua từng học_kỳ còn tiền miễn_giảm học_phí thì làm quá lâu quá trễ gần cả năm trời vẫn chưa thấy giải_ngân còn việc đóng học_phí trễ thì khoá đăng_ký môn_hủy lớp_học
Trường khá là kém. Sinh viên đăng kí môn học đã có lịch học mà trường tự động huỷ. Đầu 2023 là kết thúc trương trình đào tạo nhưng đến tận năm 2024 mới mở lại lớp học phần bị huỷ. Thư kí khoa kinh tế không biết sắp xếp lịch học cho sinh viên à?,0,trường khá là kém sinh viên đăng kí môn học đã có lịch học mà trường tự động huỷ đầu 2023 là kết thúc trương trình đào tạo nhưng đến tận năm 2024 mới mở lại lớp học phần bị huỷ thư kí khoa kinh tế không biết sắp xếp lịch học cho sinh viên à,trường khá là kém sinh viên đăng kí môn học đã có lịch học mà trường tự động huỷ đầu 2023 là kết thúc trương trình đào tạo nhưng đến tận năm 2024 mới mở lại lớp học phần bị huỷ thư kí khoa kinh tế không biết sắp xếp lịch học cho sinh viên à,"['trường', 'khá', 'là', 'kém', 'sinh_viên', 'đăng_kí', 'môn_học', 'đã', 'có', 'lịch', 'học', 'mà', 'trường', 'tự_động', 'huỷ', 'đầu', '2023', 'là', 'kết_thúc', 'trương', 'trình', 'đào_tạo', 'nhưng', 'đến', 'tận', 'năm', '2024', 'mới', 'mở', 'lại', 'lớp_học_phần', 'bị', 'huỷ', 'thư_kí', 'khoa', 'kinh_tế', 'không', 'biết', 'sắp_xếp', 'lịch', 'học', 'cho', 'sinh_viên', 'à']",trường khá là kém sinh_viên đăng_kí môn_học đã có lịch học mà trường tự_động huỷ đầu 2023 là kết_thúc trương trình đào_tạo nhưng đến tận năm 2024 mới mở lại lớp_học_phần bị huỷ thư_kí khoa kinh_tế không biết sắp_xếp lịch học cho sinh_viên à
"Trường thiếu giáo viên, chất lượng đào tạo xuống cấp, thầy cô kém, học phí tăng cao, cơ sơ vật chất trung bình yếu, số với giá tiền.",0,trường thiếu giáo viên chất lượng đào tạo xuống cấp thầy cô kém học phí tăng cao cơ sơ vật chất trung bình yếu số với giá tiền,trường thiếu giáo viên chất lượng đào tạo xuống cấp thầy cô kém học phí tăng cao cơ sơ vật chất trung bình yếu số với giá tiền,"['trường', 'thiếu', 'giáo_viên', 'chất_lượng', 'đào_tạo', 'xuống_cấp', 'thầy_cô', 'kém', 'học_phí', 'tăng', 'cao', 'cơ', 'sơ', 'vật_chất', 'trung_bình', 'yếu', 'số', 'với', 'giá', 'tiền']",trường thiếu giáo_viên chất_lượng đào_tạo xuống_cấp thầy_cô kém học_phí tăng cao cơ sơ vật_chất trung_bình yếu số với giá tiền
Cơ sở vật chất ổn áp lắm nha,1,cơ sở vật chất ổn áp lắm nha,cơ sở vật chất ổn áp lắm nha,"['cơ_sở', 'vật_chất', 'ổn_áp', 'lắm', 'nha']",cơ_sở vật_chất ổn_áp lắm nha
"Giảng viên luôn vui vẻ, hướng dẫn giảng dạy sinh viên tận tâm. Môi trường vô cùng thân thiện, cơ sở vật chất đầy đủ và hiện đại. Có nhiều view sống ảo cực kì đẹp, có nhiều khu tự học tập dành cho sinh viên vô cùng thoáng mát rộng rãi.",1,giảng viên luôn vui vẻ hướng dẫn giảng dạy sinh viên tận tâm môi trường vô cùng thân thiện cơ sở vật chất đầy đủ và hiện đại có nhiều view sống ảo cực kì đẹp có nhiều khu tự học tập dành cho sinh viên vô cùng thoáng mát rộng rãi,giảng viên luôn vui vẻ hướng dẫn giảng dạy sinh viên tận tâm môi trường vô cùng thân thiện cơ sở vật chất đầy đủ và hiện đại có nhiều view sống ảo cực kì đẹp có nhiều khu tự học tập dành cho sinh viên vô cùng thoáng mát rộng rãi,"['giảng_viên', 'luôn', 'vui_vẻ', 'hướng_dẫn', 'giảng_dạy', 'sinh_viên', 'tận_tâm', 'môi_trường', 'vô_cùng', 'thân_thiện', 'cơ_sở', 'vật_chất', 'đầy_đủ', 'và', 'hiện_đại', 'có', 'nhiều', 'view', 'sống', 'ảo', 'cực_kì', 'đẹp', 'có', 'nhiều', 'khu', 'tự', 'học_tập', 'dành', 'cho', 'sinh_viên', 'vô_cùng', 'thoáng', 'mát', 'rộng_rãi']",giảng_viên luôn vui_vẻ hướng_dẫn giảng_dạy sinh_viên tận_tâm môi_trường vô_cùng thân_thiện cơ_sở vật_chất đầy_đủ và hiện_đại có nhiều view sống ảo cực_kì đẹp có nhiều khu tự học_tập dành cho sinh_viên vô_cùng thoáng mát rộng_rãi
"ko còn lời nào để chê nữa r, tiền thì cứ tăng mà chất lượng giảng dạy giảm dần là sao?=))) học phí tăng thì chất lượng đào tạo, vui chơi giải trí cũng phải tăng theo ít nhiều gì đó chứ đằng này thấy càng ngày càng tụt là sao ạ? quá thất vọng =(((",0,ko còn lời nào để chê nữa r tiền thì cứ tăng mà chất lượng giảng dạy giảm dần là sao học phí tăng thì chất lượng đào tạo vui chơi giải trí cũng phải tăng theo ít nhiều gì đó chứ đằng này thấy càng ngày càng tụt là sao ạ quá thất vọng,ko còn lời nào để chê nữa r tiền thì cứ tăng mà chất lượng giảng dạy giảm dần là sao học phí tăng thì chất lượng đào tạo vui chơi giải trí cũng phải tăng theo ít nhiều gì đó chứ đằng này thấy càng ngày càng tụt là sao ạ quá thất vọng,"['ko', 'còn', 'lời', 'nào', 'để', 'chê', 'nữa', 'r', 'tiền', 'thì', 'cứ', 'tăng', 'mà', 'chất_lượng', 'giảng_dạy', 'giảm', 'dần', 'là', 'sao', 'học_phí', 'tăng', 'thì', 'chất_lượng', 'đào_tạo', 'vui_chơi', 'giải_trí', 'cũng', 'phải', 'tăng', 'theo', 'ít_nhiều', 'gì', 'đó', 'chứ', 'đằng', 'này', 'thấy', 'càng', 'ngày_càng', 'tụt', 'là', 'sao', 'ạ', 'quá', 'thất_vọng']",ko còn lời nào để chê nữa r tiền thì cứ tăng mà chất_lượng giảng_dạy giảm dần là sao học_phí tăng thì chất_lượng đào_tạo vui_chơi giải_trí cũng phải tăng theo ít_nhiều gì đó chứ đằng này thấy càng ngày_càng tụt là sao ạ quá thất_vọng
