Comment ,Label
"ko còn lời nào để chê nữa r, tiền thì cứ tăng mà chất lượng giảng dạy giảm dần là sao?=))) học phí tăng thì chất lượng đào tạo, vui chơi giải trí cũng phải tăng theo ít nhiều gì đó chứ đằng này thấy càng ngày càng tụt là sao ạ? quá thất vọng =(((",0
"Trường xanh mát, rộng rãi, không gian học tập năng động, thầy cô nhiệt tình, học phí phù hợp.",1
Trường ĐH Thủ Dầu Một ở Bình Dương là ok nhất,1
Chi phí đắt phòng ban cán sự có như không cơ sở vật chất thấp,0
"1) Cảnh quan đẹp , không gian rộng rãi, thoáng mát; 2) Môi trường thân thiện; 3) Hạ tầng đáp ứng tốt việc nghiên cứu, học tập ; 4) Có nhiều chương trình đào tạo thích ứng với nhu cầu xã hội.",1
"học phí thì mắc, đòi nợ sinh viên mà học bổng không thấy phản hồi",0
"Ngôi trường này quá tệ. Chương trình đào tạo kém, học phí cao. Không bao giờ cho con em theo học ngôi trường này nữa",0
"Wifi của thư viện khá mạnh, tôi download tài liệu 50gb chỉ mất 35p",1
Tôi từng học ở đây thầy cô học trò thân thiện lắm à nha,1
"Web trường cập nhật liên tục càng cập nhật càng lỗi, học phí thu nhanh, học bổng thì chậm, không rõ ràng",0
"Trường đẹp,rộng rãi,thoáng mát, cơ sở vật chất đầy đủ , thầy cô chuyên ngành ngôn ngữ hàn quốc e học thấy ai cũng nhiệt tình và tâm huyết",1
Học phí cao cơ sở vật chất phòng hư hỏng quạt rất nóng phòng không sử dụng được máy chiếu...,0
"Trường đẹp mát mẻ nhiều view đẹp, học phí phù hợp so với trang thiết bị ở trường",1
"Ngôi trường rộng, hiện đại với đầy đủ cơ sở vật chất tạo điều kiện đầy đủ cho sinh viên học tập",1
học phí tăng một cách chóng mặt dù cơ sở hạ tầng và chất lượng giảng dạy vẫn giữ nguyên ?,0
Môi trường học tập và nghiên cứu lý tưởng cho sinh viên - giảng viên,1
"Trường bào mòn túi tiền của sinh viên , các e nên cân nhắc khi nào trường này",0
"Học bổng cao, rất là cao, giáo viên nhiệt tình, thân mời mọi người tới học",1
"Hiện đại, chuyên nghiệp, đạt chuẩn 5 sao.",1
"Trường siêu lớn, đầy đủ trang thiết bị vật chất, đội ngũ giáo viên chuyên môn cao.",1
rộng rãi thoáng mát trường top bình dương,1
Trường không được như những gì quảng bá đâu,0
"Học phí thì cao , cơ sở vật chất bình thường",0
Trường bình thường giá quốc tế =)),0
Học phí cao chất lượng thấp,0
"Trường xanh, sạch, có nhiều không gian tự học.",1
"Thu tiền học phí cho nhiều , nâng cấp cái web còn thua cái cũ",0
Giáo viên trường ko quan tâm sinh viên. Nhắn tin điện thoại liên hệ mấy lần rồi chỉ xem vẫn ko trả lời.,0
"Đủ các ngành HOT hiện nay: Kế toán, Quản trị kinh doanh, thương mại điện tử, Logistics, Công nghệ thông tin, Ngôn ngữ anh, Công trình thủy, Xây dựng dân dụng, giao thông, Quản lý xây dựng, công nghệ xây dựng, Cấp thoát nước, Tài nguyên nước... Học phí rẻ: 10-12tr/năm; Cơ sở vật chất tốt",1
Trường mà t tưởng nhà ma không,0
"Trường nhiều máy lạnh, có thư viện. Nhưng trường hơi cũ rồi, không còn màu hồng nữa. Ktx có sân bóng đá, bchuyền, brổ,... Học phí ổn định.",1
"Chỉ mới được biết đến VGU thời gian gần đây có thể do trường không được giới thiệu rộng rãi trên truyền thông, tuy nhiên khi đến nơi thật sự bị cuốn hút vì sự hoành tráng của trường! Từ diện tích khuôn viên, kiến trúc độc đáo đặc trưng kiểu Đức, cơ sở vật chất, work shop... đỉnh của đỉnh! Trên hết là sự tận tình tư vấn, hướng dẫn chia sẽ của ban lãnh đạo rất tường tận - chuyên nghiệp!",1
"Con trai đang học năm nhất tại trường này, cơ sở vật chất rất tốt, cảm thấy yên tâm khi cho con theo học tại đây.",1
"Trường đại học Việt Đức, rộng cơ hở hạ tần hiện đại, Viễn Thông Tia Sáng đã thi công gói âm thanh ánh sáng và màn hình LED tại hội trường",1
"Khuân viên nhà trượng rộng mênh Mông… Cơ sở hạ tầng tuyệt phẩm, ký túc rộng rãi thoái mái cho SV ở đầy đủ…Môi trường rất đáng gửi gắm con em đến học tập….",1
"ộng, thiết kế rất hay và đẹp. Do trường còn chưa có nhiều học viên nên hơi vắng. Tổng thể thì rất đẹp",1
Cơ sở vật chất hiện đại. Chất lượng giáo dục theo tiêu chuẩn Đức.,1
Cơ sở vật chất của trường đẹp và xịn lắm!,1
"Trường VGU quá tuyệt vời, từ cơ sở vật chất, đến đội ngũ quản lý và giảng viên!

Hình chụp nhân dịp đưa con nhập học N24

""Hãy vỗ cánh mạnh mẽ và bay thật xa con nhé!"" - mãi mãi yêu con!",1
"Cơ sở vật chất thì xịn sò, đầy đủ, thoải mái. Thiết kế đẹp, nhưng vẫn còn một vài điểm thì vẫn cần phải cải thiện",1
"1. Nhiều ngành học thuộc các lĩnh vực khác nhau như Kỹ thuật sản xuất, Kỹ thuật đô thị, Kỹ thuật số, Kinh tế và Quản lý. Các chương trình đào tạo đều được thiết kế theo tiêu chuẩn quốc tế, đều đạt kiểm định: ASIIN, AAQ , ACQUIN, AACSB, ZEvA, Akkreditierungsrat.
2. Cơ sở vật chất hiện đại và trang thiết bị tiên tiến, phục vụ tốt cho việc học tập và nghiên cứu của sinh viên.
3. Khuôn viên trường rộng rãi, thoáng mát và được đầu tư bài bản, tạo môi trường học tập lý tưởng.
4. Cung cấp nhiều học bổng hấp dẫn cho sinh viên có thành tích học tập xuất sắc và những sinh viên có hoàn cảnh khó khăn.
5. Với sự đa dạng về văn hóa và ngôn ngữ, sinh viên VGU có cơ hội giao lưu, học hỏi và phát triển kỹ năng mềm. Ngôn ngữ chung là Tiếng Anh, sinh viên sẽ học thêm tiếng Đức trong chương trình học.",1
"Đến thời điểm hiện tại, ĐH Việt Đức là trường duy nhất có đầy đủ tiêu chuẩn trường ĐH quốc tế: thư viện, hệ thống nhà thi đấu, sân vận động, sân tennis, khu ký túc xá, nhà hát, giảng đường, ...",1
dọn đồ của học sinh và bảo đồ của học sinh là đồ bỏ đi và đựng chồng chất trong túi rác.,0
"Trường đang được đầu tư xây dựng trên diện tích đất rất rộng với những cong trình to đẹp.
Chúc mừng các em tân sinh viên tương lai nhé
20.03.2019",1
Đang xây rất to và đẹp. Ủng hộ di dời trường ĐH ra ngoại tỉnh để giãn dân,1
"Mình học ở đây, học rất vui. Các thầy dạy nhiệt tình, sẵn lòng chia sẻ mọi kiến thức.",1
"Dự án cả 10 năm mới khởi công, hy vọng trường phát triển. nhà tôi kế bên nè.",1
Một ngôi trường có cơ sở vật chất tuyệt vời.,1
Tôi đã từng lấp dựng trường này hơn 1 năm .bên kết cấu thép của trí việt,1
Đại Học Việt Đức chuẩn bị bàn giao giai đoạn 1 vào đầu năm 2020,1
"Khuôn viên trường và các khu xây dựng chuyên nghiệp, rất rộng, có nhiều cây xanh.

Nếu xét về quy mô thì ở Việt Nam chắc ít trường vượt qua được VGU.

Về vị trí: Hiện trường đã dời về địa điểm mới tại: Đường Lê Lai, Phường Hòa Phú, TP. Thủ Dầu Một, Tỉnh Bình Dương, không còn ở Làng đại học, thuộc Linh Trung, Thủ Đức như trước đây nữa.
",1
"KTX khá đầy đủ tiện nghi, quan trọng là cách mình thích ứng thoi.
- Công nhân viên hay bảo vệ ở đây đều rất thân thiện và vui vẻ
- Bị cái sóng trong phòng KTX rất yếu, nên lắp wifi nếu muốn xài trong phòng. Nhưng ra ngoài hành lang thì có lại sóng điện thoại. Nói chung khuôn viên trường sóng sánh không ổn định.
- Phòng tuyển sinh nằm ở Lầu 2, Tòa nhà hành chính, phòng 220. Từ thang máy lên mọi người rẽ trái nha. Trường hơi rộng, dễ đi lạc. Nên liên hệ trước để được hướng dẫn.
- Cây cối ở trường còn đang trong quá trình trồng, độ phủ xanh chưa đủ lớn.
-DPM-",1
Nơi đào tạo ra sự chật lượng cho cuộc sống,1
Sắp học. Thấy mọi người đánh giá tốt với trường quốc tế xịn mà học phí phải chăng nên vote 5 sao trước.,1
Đang trong thời gian xây dựng và hoàn thiện. Tiềm năng lớn.,1
"Trường rất rộng và đẹp, nhìn từ sân thượng dãy 80 căn",1
"trường không có căn tin cho sinh viên, +nhiều khoản thu phí quá đáng không xứng với giá trị,
+Làm phiền, kiểm tra phòng lúc nửa đêm, như thu tiền sv trg cho sân thể thao, không cho sinh viên ra khỏi phòng sau 11h,
+Chất lượng dịch vụ và cơ sở vật chất tệ, hư hỏng nặng chỉ sau vài tuần sử dụng
+Không cho Sv chạy xe vào sân trường để chuyển trọ nhưng cho nhân viên trường chạy thoải mái trên sảnh
+Thái độ một vài nhân viên trường không tốt
+Không đảm bảo được an ninh, người ngoài vào trường trộm cắp
+ Xe bus sinh viên đóng chi phí cao nhưng chất lượng không đạt yêu cầu ( không có máy lạnh)

Phụ huynh, sinh viên nên cân nhắc học ở đây",0
"Phòng KTX chật chội, chiều dài giường nằm chưa phù hợp cho sv có chiều cao, hệ thống cống chưa thoát hết nước - nhiều muỗi, tại khu KTX không thấy có bãi xe cho sv (bãi xe chung của trường quá xa khu KTX).",0
Ngôi trường quá đẹp,1
"Mời chuyển campus mới nên vẫn chưa ổn 1 số khâu. Nhưng ko thể chê chất lượng giảng dạy và cơ sở vật chất. Ai muốn học lấy bằng châu âu, đi Đức thì vào đây là chuẩn rồi nhé. Highly recomnend!",1
"Tuyệt vời cho sinh viên cả nước .khi bạn thi tuyển lọt vào đây ngoài học lực thì ngoại ngữ tiếng anh trên 8.5 là điều kiện tạm để bạn theo học tại trường
Ngoài ra thì … nói chung trả phải đi đâu xa mà vẫn đạt chuẩn du học Đức tại gia.
Mọi tiêu chuẩn và điều kiện ,ăn/ ở /học .đều gói gọn trong khuân viên của trường",1
"Trường to đẹp, lương hơi thấp",1
Mọi việc từ khi biết và tìm đến Quí trường đại học Việt Đức đều xuống sẻ việc vào trường cho con trai.,1
VGU thật sự rất tuyệt,1
"Wow trường rộng thì khỏi phải bàn luôn, mong là học phí vừa phải để nhiều sinh viên có cơ hội học tập.",1
"Cở sở vật chất không thua nước ngoài, con tôi đã tốt nghiệp ở VGU trường cũ nên biết được chất lượng giảng dạy rất tuyệt vời, gần như các em ra trường có việc làm ổn định.",1
"Trường có kiến trúc theo chuẩn châu âu, đẹp, mới khánh thành khuôn viên trường ngày 11/11",1
"Phòng tuyển sinh nằm ở Lầu 2, Tòa nhà hành chính, phòng 220. Từ thang máy lên mọi người rẽ trái nha. Trường hơi rộng, dễ đi lạc. Nên liên hệ trước để được hướng dẫn.",1
Hy vọng trường sẽ hoàn thành trong năm sau để các bạn sinh viên Việt Đức được học trong Campus mới với các trang thiết bị hiện đại.,1
"Trường chỉ đc rộng chứ nhìn khá âm u và hoang sơ, giá cả căn tin thì mắc thôi rồi luôn",0
"Đẹp, hiện đại",1
"ẹp, rộng rãi, Hoành tráng, giao thông thuận lợi...và nhiều tiện ích khác.",1
Thời gian tới điểm này sẽ khá lý tưởng cho những phụ huynh muốn gởi gắm con em mình học tại đây.giờ còn đang trong giai đoạn xây dựng,1
"Quy mô rộng, nhiều phân khu cho học sinh riêng biệt..",1
Trường học hiện đại tiện nghi ở mỹ phước bến cát bình dương,1
Thật vui vì những sinh viên ở khu vực Bình Dương. Bình Phước. Tây Ninh và Tây Nguyên sẽ được học trong môi trường hiện đại như vậy,1
"GỌI ĐIỆN THOẠI THÌ KHÔNG AI BẮT MÁY, GỌI NGUYÊN 1 NGÀY KHÔNG AI BẮT MÁY, ĐẾN KHI GỌI ĐƯỢC THÌ NGƯỜI NÀY ĐÙN ĐÂY NGƯỜI NỌ, PHONG BAN NÀY ĐẨY SANG BAN NỌ, LÀM ĂN NHƯ CÁI AO LÀNG, CÓ CÁI VIỆC KHÁCH HÀNG LIÊN HỆ CÒN KHÔNG LÀM ĐƯỢC THÌ DẠY DỖ CÁI GÌ.",0
Tham gia giải chạy vgu run. Khuôn viên siêu rộng. Csvc thì khỏi nói. Rate 5s,1
"Đẹp, làm xong không thanh toán tiền cho tổ đội",0
"Trường mới xây, rộng rãi, sân chơi thể thao đa dạng.",1
Môi trường giảng dạy tuyệt vời!,1
"Sơ sở vật chất tuyệt vời, sân vận động hồ bơi quá đẹp",1
"Đối với tôi một con người thích môi trường quân đội nên đây là một trong những trải nghiệm thú vị 
",1
"Trường chuyên đào tạo các chiến sỉ,  sỉ quan cấp cao",1
Mình học trong đấy và thấy badly :)),0
Trường rất đẹp,1
Mình mảng ngành Kiến trúc thấy trường thường xuyên có những hoạt động giao lưu sáng tạo kết nối doanh nghiệp cho các bạn sinh viên cũng như hỗ trợ việc làm cho các anh chị mới ra trường rất nhiệt tình.,1
"Trường tổ chức các hoạt động thiết thực, và thực tế cho sinh viên tham gia nè. Nhìn thích ko cơ chứ😍😍😍 Viện Dược học mãi đỉnk lun, BDU đỉnh số 1 ko ai dám số 2 …",1
"Trường có Viện dược học trang bị thiết bị hiện đại, không khí mát mẻ. Trường tạo điều kiện cho sinh viên Dược được tham quan các nhà máy để có thêm trải nghiệm.",1
"Ra trường cũng lâu rồi, mỗi lần nhớ đến lại nhớ những kỉ niệm quý giá, mình thấy môi trường thật tuyệt vời khi được học tập với các giảng viên nước ngoài, từ Hàn, Nhật, Nga,.. Thầy cô dạy với sự tâm huyết không những thế mình học được cả văn hoá của các nước láng giềng nữa. Rất vui khi được gửi thanh xuân 4 năm đại học ở đây. Many thanks",1
"Giảng viên có chuyên môn ngành, truyền đạt đủ kiến thức trên giảng đường cho sinh viên. Trường khá rộng và có phòng học có điều hoà. Giảng viên vui vẻ thân thiện",1
Ngoài việc được học tập trong một môi trường năng động. Tụi em còn được tham gia các hoạt động CLB và ngoại khoá do Khoa hoặc Nhà trường tổ chức.,1
Ngoài việc được học tập trong một môi trường năng động. Tụi em còn được tham gia các hoạt động CLB và ngoại khoá do Khoa hoặc Nhà trường tổ chức.,1
"Hoạt động cosplay của trường nè. Không chỉ hoạt động cosplay, trường Đại học Bình Dương còn có rất nhiều hoạt động thú vị khác như các hoạt động trải nghiệm văn hóa Hàn - Nhật hay tham quan hoạt động sản xuất tại các nhà máy, xí nghiệp...",1
Trường đào tạo chuẩn. Tổ chức nhiều hoạt động cho sinh viên tốt.,1
"Sinh viên được thực hành thực tế tại doanh nghiệp.
Sinh viên gặp gỡ giao lưu với sinh viên nước bạn.
Tham gia hoạt động vì cộng đồng.",1
"Thầy cô rất thân thiện, ngoài việc học lý thuyết trên trường thì nhà trường còn tạo cơ hội được trải nghiệm với thực tế nữa ạ",1
"chất lượng đào tạo tốt, giảng viên tận tình, môi trường học tập lành mạnh, tạo cảm giác thoải mái cho sinh viên, thật tuyệt vời ( ykr)",1
"Đến vs Đại Học Bình Dương, đến vs đại gdinh CNTT các bạn sẽ gặp dc những trai xinh gái đẹp, những người Thầy người Cô tận tâm và cực kì thân thiệnn",1
"Trường thật sự rất tốt, rất xứng đáng để các bạn theo học trong những năm tháng đại học",1
"Trường có nhiều tiết ngoại khóa giao lưu với với các chuyên đề hấp dẫn. Chia sẻ nhiều kinh nghiệm, giúp ít nhiều trong quá trình học tập.Nên học ở đây 100 điểm",1
"Ngôi trường có nhiều quan điểm tích cực trong công tác giảng dạy, đào tạo.",1
"Trường học thân thiện, luôn nâng cấp cơ sở hạ tầng",1
"Ngành học Quá tuyệt Vời ,Giảng viên có tâm với nghề.có phòng học máy lạnh cơ sở Ok",1
BDU đào tạo ra nhiều thế hệ sinh viên thành công!,1
"Môi trường thân thiện, hòa đồng. Giảng viên giảng dạy nhiệt tình, áp dụng vào thực tế",1
"TÔI KHUYÊN CÁC BẠN ĐỪNG VÀO TRƯỜNG NÀY 1. Mới đầu nói sẽ có học BỔNG HỌC PHÍ TỚI LÚC NHẬP HỌC LẠI KHÔNG CÓ, không báo nhất quán VỀ HỌC PHÍ báo 9tr lại bị yêu cầu nộp 11tr3 nói còn phát sinh hàng loạt phụ phí 2. Số học kì thay đổi BAN ĐẦU SINH VIÊN ĐƯỢC THÔNG BÁO NĂM CÓ 2 KỲ HỌC NHƯNG SAU KHI NHẬP HỌC THÌ LẠI LÀ 3 KÌ MỖI KÌ TĂNG 1-2 TRIỆU ĐỒNG THẬM CHÍ CÒN HƠN, SINH VIÊN PHẢI DỤC ĐÓNG TIỀN NHANH CÒN KHÔNG ĐÓNG TIỀN KỊP GIA HẠN THÌ MỖI MÔN CÁC BẠN PHẢI ĐÓNG 100K TỨC 10 MÔN CÁC BẠN PHẢI ĐÓNG THÊM 1TR 3. QUY ĐỊNH XEM ĐIỂM BẤT HỢP LÝ ĐỂ BIẾT ĐIỂM THI CỦA KÌ TRƯỚC SINH VIÊN PHẢI ĐÓNG XONG TIỀN HỌC KÌ SAU CÒN KHÔNG THÌ KHÔNG ĐƯỢC XEM ĐIỂM THI, CÁC BẠN THI BÀI KHÔNG ĐẠT KHÔNG RÕ NGUYÊN NHÂN XUỐNG PHÒNG TUYỂN SINH MIỆNG THÌ NÓI GIẢI QUYẾT NHƯNG THẬT RA THÌ KHÔNG. 4. TẮC TRÁCH TRONG QUẢN LÝ NHIỀU SINH VIÊN BỊ HỦY HỌC PHẦN MÀ KHÔNG RÕ NGUYÊN NHÂN CHỈ THÔNG BÁO CHUNG CHUNG NHƯ HỆ THỐNG BỊ LỖI KHI ĐĂNG KÍ HỌC PHẦN 5 KIẾN NGHỊ KHÔNG ĐƯỢC GIẢI QUYẾT NHIỀU SINH VIÊN ĐÃ PHẢN ÁNH TÌNH TRẠNG NÀY NHƯNG KHÔNG ĐƯỢC GIẢI QUYẾT CHỈ NHẬN ĐƯỢC CÂU TRẢ LỜI CHUNG CHUNG RỒI SAU ĐÓ LẠI im BẶT ĐỂ SINH VIÊN TỰ SINH TỰ DIỆT DẤU HIỆU SỰ QUẢN LÝ YẾU KÉM",0
"Trường có nhiều CLB dành cho sinh viên rất hay, Thầy/Cô thân thiện, CSVC được nâng cấp thường xuyên, các Doanh nghiệp cũng thường xuyên gửi về Trường nhiều cơ hội việc làm cho các bạn sinh viên ngay cả khi đang học tập hoặc sau TN. Nhìn chung là nơi đáng học tập lâu dài đó ạ. Love all.",1
"Phòng học, sân chơi ok quản lý, chăm sóc lớp tốt",1
"1) Học phí cao cơ sở hạ tầng thì thấp, học xong thấy không khác gì bị lừa. 2) Học thì dạy qua loa xong học 1 đường kiểm tra 1 nẻo để cho sinh viên rớt gần hết lớp. Học xong năm 1 lớp nghỉ hơn 1/2 lớp, chưa thấy trường nào như trường này. 3) Giảng viên đại học mà 1 người dạy gần hết những môn chuyên ngành. Lên lớp mở YouTube cho xem xong bảo các em tự học. AVCN thì “các e tự tra google”. 4) Lấy bằng mọi trường có 100k đây hẳn 1 triệu, còn phải tốn tiền làm lễ tốt nghiệp. Khuyên các bạn mới đừng bị lừa bởi makerting tiền học phí rẻ hay bla bla thì thôi nhé các bạn. Đặc biệt ngành Ô Tô, thua trường nghề.",0
"Mấy cái đánh giá 5 sao toàn là mua không đó và của giáo viên trường tự đánh giá, né cái trường này ra, đừng tin, Bộ GD chưa xét NV mà đã hối đóng tiền từ đầu tháng 7 đến giờ, đi hỏi mấy anh chị ở TP.hcm học trường này được 2 năm là bỏ ngang, học phí nó có tăng theo kì 10%, nói chung mỗi kì tăng 1tr mấy, dạy dở lắm, Khuyên thật nếu đã vào trường tư thục thì nên chọn những trường ở thành phố lớn, chứ đừng dại chọn một cái trường ở ""tỉnh nhỏ chồng lên tỉnh lớn"" như đại học bình dương, Tại ban đầu thấy học phí rất rẻ nên bị dụ, giống như làm mồi năm đầu thôi, các năm sau biến động theo chiều hướng ko rõ ràng, nhưng cơ sở vật chất và chất lượng giảng dạy thua cả trường nghề, phải đành bỏ ngang để chuyển qua trường khác ở TP lớn, tốn thêm mớ tiền, Với mấy anh chị đã từng học nói ngành dược trường này dạy không vào chuyên ngành, dạy mấy cái lá cây, lá cối gì không à, không có dạy về thuốc tây đâu, một ngày học đúng 1 ca 2 tiếng là xong, ngt 180 tín chỉ còn nó 150 tín chỉ, mấy anh chị mấy khoá trước đã từng học trường này và chuyển trường lên TP kể lại, chị không cung cấp hồ sơ cho trường này mà trường tự động xét tùm lum ngành trên cổng bộ lúc đăng kí, phiền thật sự, trường này ko có nhà xe, phải đậu ngoài trời,mưa bị dột nhiều phòng, giảng viên dạy sơ xài rồi kêu lên mạng tự mò, ko thèm giải thích, chưa nhập học là kêu chuyển khoản trước rồi, có trường nào như thế ko ???, Giảng viên thì toàn thuê ở đâu không, có một giảng viên mà dạy gần hết các môn trong một ngành ????, ngày nào giảng viên bị kẹt xe thì lớp đó bị nghỉ học, trường nhỏ, tuyển sinh ồ ạt, chất lượng kém học 1 thời gian sinh viên chán nản bỏ ngang rồi lại đi tuyển tiếp các đợt sau rồi cắn tiền tiếp, Giảng viên thì toàn thuê ở đâu không, ngày nào giảng viên bị kẹt xe thì lớp đó bị nghỉ học,trường nhỏ, tuyển sinh ồ ạt,học 1 thời gian sinh viên chán nản bỏ ngang rồi lại tuyển sinh tiếp, các bạn sinh viên cảnh giác, đừng để bị dụ nhé. Các bạn tham khảo tại đây, chị thấy trang này nói khá đúng, các bạn tham khảo: https://vt.tiktok.com/ZS2pWaoNs/",0
"Giảng viên có chuyên môn, tận tâm đồng hành cùng sinh viên trong quá trình học tập. Trường Đại học Bình Dương là nơi chấp cánh ước mơ.",1
Giảng viên thì nhiệt tình ; còn những cán bộ khác thì nên đi học lại cách cư xử với sinh viên để họ cảm thấy được tôn trọng!,0
"tôi sinh viên trường này khuyên các bạn học sinh, quý phụ huynh né trường này ra, các ngành khác không biết như nào nhưng ngành cntt giảng viên trường dạy rất kém, giảng dạy không vào trọng tâm, cứ vào nói như kiểu nói chuyện với người cùng level, xong hỏi có chỗ nào không hiểu thì đặt câu hỏi, đặt xong lại quay ra cắn sinh viên kêu lên mạng kiếm đi rồi mõm tự học?😒 Đa số giảng viên của khoa có chuyên môn ngành nhưng không có chuyên môn giảng dạy, dạy rất hời hợt, đóng tiền học chỉ để hình thức đủ yêu cầu rồi thi rồi qua môn chứ đừng mong chờ kiến thức gì.",0
"Trường khá nhỏ đối với các trường khác, có thang máy nhưng ít dùng, các phòng học nóng k có máy lạnh, nhà xe ngoài trời",0
"Trường ngay trung tâm Thủ Dầu Một, muốn ăn gì order phát có ngay",1
"Nhân viên thư viện của trường đại học Bình Dương xử lý thông tin sinh viên rất kém , Sinh viên cần tích Điểm thư viện Dù ngồi tại chỗ tại thư viện nhưng nhân viên của thư viện vẫn không Tích điểm cho sinh viên Với lý do khi đi tuần không thấy sinh viên có mặt ở đó ( Sinh viên để đồ tại bàn và đi vệ sinh nhân viên chỉ đi tuần một đến hai lần Thời gian đi tuần cách nhau quá xa), Dù có bằng chứng Sinh viên tích điểm thư viện tại chỗ nhưng nhân viên thư viện không chịu ghi nhận Khiến quá chị quá trình tích điểm thư viện của sinh viên bị ảnh hưởng -> Khó khăn và dẫn đến không đủ điểm thư viện từng kỳ",0
